Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Label
0.5135135135135136,0.5210084033613446,0.08407079646017701,0.18133522224189835,0.15030262273032952,0.1323238973008558,0.14798206278026907,0.5,None
0.3716216216216216,0.35294117647058826,0.07964601769911504,0.07915707455285992,0.06624075319435102,0.06319947333772219,0.06826108619830595,0.2142857142857143,None
0.6148648648648649,0.6134453781512604,0.1194690265486726,0.2390649902603152,0.17182246133154,0.1856484529295589,0.20777279521674144,0.2857142857142857,None
0.4932432432432433,0.5210084033613446,0.11061946902654868,0.1820435629537808,0.14425016812373906,0.14944042132982224,0.15296462381664178,0.3214285714285714,M
0.3445945945945946,0.33613445378151263,0.07079646017699115,0.07189658225606516,0.05951580363147275,0.05134957208689928,0.05331340308918785,0.2142857142857143,None
0.47297297297297297,0.4117647058823529,0.08407079646017701,0.12378253940145208,0.09414929388029587,0.10138248847926266,0.1180866965620329,0.25,None
0.6148648648648649,0.6050420168067226,0.13274336283185842,0.2746591110324066,0.15870880968392734,0.1856484529295589,0.32735426008968616,0.6785714285714285,F
0.6351351351351352,0.6218487394957983,0.11061946902654868,0.2712944926509651,0.19704102219233352,0.19618169848584596,0.2575984055804684,0.5357142857142857,None
0.5405405405405406,0.5294117647058824,0.11061946902654868,0.1797414556401629,0.14492266308002688,0.14746543778801846,0.1629297458893872,0.2857142857142857,M
0.6418918918918921,0.6470588235294118,0.13274336283185842,0.31609704267752786,0.21082716879623398,0.19815668202764972,0.31738913801694074,0.6428571428571428,None
0.6081081081081081,0.5462184873949579,0.12389380530973453,0.2140959801664601,0.12979152656355075,0.19354838709677416,0.20777279521674144,0.4642857142857143,None
0.4797297297297297,0.4957983193277311,0.09734513274336284,0.14308482380024792,0.11197041022192332,0.10599078341013823,0.133034379671151,0.3214285714285714,M
0.5608108108108109,0.5462184873949579,0.1194690265486726,0.19107490703028154,0.1455951580363147,0.12442396313364056,0.18784255107125067,0.35714285714285715,M
0.6216216216216217,0.5882352941176471,0.12831858407079647,0.24172126792987425,0.18258238063214524,0.22448979591836732,0.20279023418036876,0.3214285714285714,F
0.5337837837837838,0.5042016806722689,0.08849557522123895,0.16769966353816185,0.11197041022192332,0.1053324555628703,0.182859990034878,0.3214285714285714,None
0.5743243243243243,0.5798319327731093,0.11504424778761065,0.2346378608110501,0.17283120376597175,0.17445687952600394,0.2376681614349776,0.3928571428571429,M
